[ 2022-12-21 18:04:43,043 ] Using spritesheet cache size of 910
[ 2022-12-21 18:04:44,032 ] Asset loading complete
[ 2022-12-21 18:04:49,443 ] All sound assets loaded
[ 2022-12-28 13:43:17,313 ] Using spritesheet cache size of 910
[ 2022-12-28 13:43:18,241 ] Asset loading complete
[ 2022-12-28 13:43:24,615 ] All sound assets loaded
[ 2022-12-28 14:03:49,415 ] Using spritesheet cache size of 910
[ 2022-12-28 14:03:50,425 ] All sound assets loaded
[ 2022-12-28 14:03:50,800 ] Asset loading complete
[ 2022-12-28 14:03:56,710 ] All sound assets loaded
[ 2022-12-28 14:04:19,244 ] News query failed: "Unrecognized event news."
[ 2022-12-28 14:04:20,511 ] BattlEye: "Initialized (v1.246)"
[ 2022-12-28 14:04:20,511 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2022-12-28 14:04:20,513 ] BattlEye: "Restarting client is necessary, update required"
[ 2022-12-28 14:04:20,609 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2022-12-28 14:04:20,635 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2022-12-28 14:04:20,638 ] Connected to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2022-12-28 14:04:22,041 ] News query failed: "Unrecognized event news."
[ 2022-12-28 14:05:29,184 ] qrc:/qml/StoreMainPage.qml:76:9: QML Image: Error transferring http://127.0.0.1/images/store//home/banner_riftwatcher.png - server replied: Not Found
[ 2022-12-28 14:05:29,184 ] qrc:/qml/StoreMainPage.qml:76:9: QML Image: Error transferring http://127.0.0.1/images/store//home/banner_podiumofrenown.png - server replied: Not Found
[ 2022-12-28 14:05:29,184 ] qrc:/qml/StoreMainPage.qml:76:9: QML Image: Error transferring http://127.0.0.1/images/store//home/banner_runemaster.png - server replied: Not Found
[ 2022-12-28 14:16:01,404 ] Using spritesheet cache size of 910
[ 2022-12-28 14:16:02,522 ] Asset loading complete
[ 2022-12-28 14:16:08,248 ] All sound assets loaded
[ 2022-12-28 14:18:38,390 ] Using spritesheet cache size of 910
[ 2022-12-28 14:18:40,168 ] Asset loading complete
[ 2022-12-28 14:18:44,254 ] All sound assets loaded
[ 2022-12-28 14:32:05,820 ] Using spritesheet cache size of 910
[ 2022-12-28 14:32:06,804 ] Asset loading complete
[ 2022-12-28 14:32:11,640 ] All sound assets loaded
[ 2022-12-28 14:32:52,575 ] Using spritesheet cache size of 910
[ 2022-12-28 14:32:54,500 ] Asset loading complete
[ 2022-12-28 14:33:01,127 ] All sound assets loaded
[ 2022-12-28 14:33:16,301 ] News query failed: "Unrecognized event news."
[ 2022-12-28 14:33:17,963 ] BattlEye: "Initialized (v1.246)"
[ 2022-12-28 14:33:17,963 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2022-12-28 14:33:17,964 ] BattlEye: "Restarting client is necessary, update required"
[ 2022-12-28 14:33:18,135 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2022-12-28 14:33:18,168 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2022-12-28 14:33:18,181 ] Connected to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2022-12-28 14:33:20,135 ] News query failed: "Unrecognized event news."
[ 2022-12-28 14:34:32,155 ] qrc:/qml/StoreMainPage.qml:76:9: QML Image: Error transferring http://127.0.0.1/images/store//home/banner_riftwatcher.png - server replied: Not Found
[ 2022-12-28 14:34:32,155 ] qrc:/qml/StoreMainPage.qml:76:9: QML Image: Error transferring http://127.0.0.1/images/store//home/banner_runemaster.png - server replied: Not Found
[ 2022-12-28 14:34:32,155 ] qrc:/qml/StoreMainPage.qml:76:9: QML Image: Error transferring http://127.0.0.1/images/store//home/banner_podiumofrenown.png - server replied: Not Found
[ 2022-12-28 14:36:30,270 ] Connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2022-12-28 14:36:30,389 ] Disconnected from gameserver
[ 2023-01-16 01:50:59,907 ] Using spritesheet cache size of 910
[ 2023-01-16 01:51:05,538 ] Asset loading complete
[ 2023-01-16 01:51:08,118 ] Could not find Sound Effect ID 688
[ 2023-01-16 01:51:12,166 ] All sound assets loaded
[ 2023-01-16 01:51:19,135 ] Update failed. Please reinstall Tibia to update your client.
[ 2023-01-16 03:45:06,130 ] Using spritesheet cache size of 910
[ 2023-01-16 03:45:08,214 ] All sound assets loaded
[ 2023-01-16 03:45:08,214 ] All sound assets loaded
[ 2023-01-16 03:45:09,462 ] Asset loading complete
[ 2023-01-16 03:45:10,411 ] Could not find Sound Effect ID 688
[ 2023-01-16 03:45:14,557 ] Could not find Sound Effect ID 675
[ 2023-01-16 03:45:14,557 ] Could not find Sound Effect ID 676
[ 2023-01-16 03:45:16,067 ] All sound assets loaded
[ 2023-01-16 03:47:24,419 ] News query failed: "Unrecognized event news."
[ 2023-01-16 03:47:27,968 ] BattlEye: "Initialized (v1.246)"
[ 2023-01-16 03:47:27,968 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2023-01-16 03:47:27,968 ] BattlEye: "Restarting client is necessary, update required"
[ 2023-01-16 03:47:28,082 ] Request connection to gameserver  "tcp://phxserver.net:7172"  (unprotected:  "tcp://phxserver.net:7172" )  requested (Charakter "Phx" )
